Gestion;2015;;;;;;;;
Type Budget;Budget général;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2014;AEPLF; CPLF 2014; CPPLF
Défense;146;8;Projection - mobilité - soutien;51;Maintenir le potentiel ami et autre - Porteur polyvalent terrestre (PPT);110 700 000;0;62 434 147;16 807 344
Défense;146;8;Projection - mobilité - soutien;53;Maintenir le potentiel ami et autre - Autres opérations;25 664 495;25 796 233;37 996 403;31 661 919
Défense;146;8;Projection - mobilité - soutien;55;Multi-Role transport Tanker (MRTT);360 000 000;1 600 000 000;25 931 416;82 213 221
Défense;146;9;Engagement et combat;0;Multi-Role transport Tanker (MRTT);3 868 641 316;3 849 038 775;3 695 338 909;3 111 894 957
Défense;146;9;Engagement et combat;56;Frapper à distance - Missile de croisière naval (MDCN);0;0;181 690 424;131 796 754
Défense;146;9;Engagement et combat;58;Frapper à distance - Armement air-sol modulaire (AASM);0;0;37 731 829;28 440 875
Défense;146;9;Engagement et combat;59;Frapper à distance - RAFALE;183 969 361;369 137 595;1 018 970 168;686 727 110
Défense;146;9;Engagement et combat;61;Frapper à distance - Autres opérations;301 554 932;199 492 017;240 270 684;287 000 149
Défense;146;9;Engagement et combat;66;Opérer en milieu hostile - Véhicule blindé de combat d'infanterie (VBCI);191 500 000;149 441 737;220 136 265;84 133 565
Défense;146;9;Engagement et combat;68;Opérer en milieu hostile - Hélicoptère HAP/HAD TIGRE;74 489 176;206 000 000;207 024 517;224 102 733
Défense;146;9;Engagement et combat;69;Opérer en milieu hostile - Future torpille lourde (FTL);185 000 000;88 800 000;47 790 416;34 205 897
Défense;146;9;Engagement et combat;71;Opérer en milieu hostile - Evolution Exocet;0;0;33 009 947;44 272 153
Défense;146;9;Engagement et combat;73;Opérer en milieu hostile - Frégates multi-missions (FREMM);0;507 000 000;461 760 113;362 714 805
Défense;146;9;Engagement et combat;74;Opérer en milieu hostile - SNA Barracuda;1 754 000 000;1 181 000 000;572 937 573;599 726 995
Défense;146;9;Engagement et combat;75;Opérer en milieu hostile - Autres opérations et conduire des opérations spéciales;721 127 847;731 167 426;504 177 522;513 041 234
Défense;146;9;Engagement et combat;77;Opérer en milieu hostile -  SCORPION;457 000 000;417 000 000;20 544 090;77 935 654
