Phase;Type de mission;Mission;Code Programme;Programme;Code Action;Action;Code Sous-Action;Sous-Action;AE PLF 2019;CP PLF 2019;Code Ministère;Ministère
PLF 2019;Budget général;Culture;175;Patrimoines;9;Patrimoine archéologique;;;136 972 761;136 972 761;2;Culture
PLF 2019;Budget général;Culture;131;Création;1;Soutien à la création, à la production et à la diffusion du spectacle vivant;;;705 971 765;705 941 765;2;Culture
PLF 2019;Budget général;Culture;131;Création;2;Soutien à la création, à la production et à la diffusion des arts visuels;;;77 925 143;76 372 994;2;Culture
PLF 2019;Budget général;Culture;224;Transmission des savoirs et démocratisation de la culture;1;Soutien aux établissements d'enseignement supérieur et insertion professionnelle;;;255 100 885;243 167 911;2;Culture
PLF 2019;Budget général;Culture;224;Transmission des savoirs et démocratisation de la culture;2;Soutien à la démocratisation et à l'éducation artistique et culturelle;;;197 558 153;197 558 153;2;Culture
PLF 2019;Budget général;Culture;224;Transmission des savoirs et démocratisation de la culture;6;Action culturelle internationale;;;7 385 969;7 385 969;2;Culture
PLF 2019;Budget général;Culture;224;Transmission des savoirs et démocratisation de la culture;7;Fonctions de soutien du ministère;;;784 200 949;780 665 143;2;Culture
PLF 2019;Budget général;Culture;224;Transmission des savoirs et démocratisation de la culture;8;Soutien à l'emploi dans le secteur culturel;;;43 000 000;30 000 000;2;Culture
PLF 2019;Budget général;Culture;224;Transmission des savoirs et démocratisation de la culture;9;Langue française et langues de France;;;3 224 338;3 224 338;2;Culture
PLF 2019;Budget général;Défense;144;Environnement et prospective de la politique de défense;3;Recherche et exploitation du renseignement intéressant la sécurité de la France;31;Renseignement extérieur;333 708 270;342 922 505;70;Armées
PLF 2019;Budget général;Défense;144;Environnement et prospective de la politique de défense;3;Recherche et exploitation du renseignement intéressant la sécurité de la France;32;Renseignement de sécurité de défense;15 698 349;15 698 349;70;Armées
