GESTION;2018;;;;;;;;
TYPE BUDGET;Budget général;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2017;AEPLF; CPLF 2017; CPPLF
Défense;178;02;Préparation des forces terrestres;07;Maintien en condition opérationnelle du matériel des forces terrestres;919 772 067;957 776 328;776 371 499;884 048 111
Défense;178;02;Préparation des forces terrestres;08;Environnement opérationnel des forces terrestres;158 196 240;186 414 037;196 761 020;189 193 272
Défense;178;03;Préparation des forces navales;01;Commandement et activités des forces navales;260 998 295;285 784 474;305 474 124;310 477 408
Défense;178;03;Préparation des forces navales;05;Ressources humaines des forces navales;43 636 588;44 167 269;42 644 378;42 681 826
Défense;178;03;Préparation des forces navales;07;Maintien en condition opérationnelle du matériel des forces navales;1 510 913 729;2 023 827 995;1 585 332 909;1 822 843 464
Défense;178;03;Préparation des forces navales;08;Environnement opérationnel des forces navales;67 757 794;71 467 227;66 363 530;69 705 805
Défense;178;04;Préparation des forces aériennes;02;Commandement et activités centralisées des forces aériennes;7 405 740;7 582 151;7 040 660;7 427 930
Défense;178;04;Préparation des forces aériennes;03;Activités des forces aériennes;259 496 788;269 362 989;258 241 106;268 297 419
Défense;178;04;Préparation des forces aériennes;04;Activités des forces aériennes stratégiques;147 833 139;153 520 033;145 418 859;151 053 061
Défense;178;04;Préparation des forces aériennes;05;Ressources humaines des forces aériennes;75 803 759;81 606 983;75 368 235;80 795 546
