Type de mission;Code type de mission;Mission;Code mission;Programme;Code programme;Action;Code action;Sous-action;Code sous-action;Autorisations d'engagement;Crédits de paiement
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;67;Gendarmerie de la Sureté de l'Armement Nucléaire;5;4584238;4584238
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;67;Contrôle Budgétaire et Comptable Ministériel défense - Agence Comptable des Services Industriels de l'Armement;6;9809056;9809056
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;67;Direction de la Protection des Installations, moyens et activités de la Dissuasion;7;2234349;2234349
Budget général;1;Engagements financiers de l'État;EB;Appels en garantie de l'État (crédits évaluatifs);114;Développement international de l'économie française;4;Assurance-crédit;1;0;0
Budget général;1;Engagements financiers de l'État;EB;Appels en garantie de l'État (crédits évaluatifs);114;Développement international de l'économie française;4;Assurance-prospection;2;0;0
Budget général;1;Engagements financiers de l'État;EB;Appels en garantie de l'État (crédits évaluatifs);114;Développement international de l'économie française;4;Garantie de change;3;0;0
Budget général;1;Engagements financiers de l'État;EB;Appels en garantie de l'État (crédits évaluatifs);114;Développement international de l'économie française;4;Garantie du risque économique;4;0;0
Budget général;1;Engagements financiers de l'État;EB;Appels en garantie de l'État (crédits évaluatifs);114;Développement international de l'économie française;4;Garanties de taux d'intérêt Natixis;5;0;0
Budget général;1;Engagements financiers de l'État;EB;Appels en garantie de l'État (crédits évaluatifs);114;Développement international de l'économie française;4;Garantie du risque exportateur;6;0;0
Budget général;1;Recherche et enseignement supérieur;RA;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190;Recherche dans le domaine de l'énergie;10;Commissariat à l'énergie atomique et aux énergies alternatives (CEA);1;490136265;490136265
Budget général;1;Recherche et enseignement supérieur;RA;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190;Recherche dans le domaine de l'énergie;10;IFP Energies nouvelles (IFPEN);2;135627494;135627494
Budget général;1;Recherche et enseignement supérieur;RA;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190;Recherche dans le domaine de l'énergie;10;Gestion des matières et déchets radioactifs : CNE - reprise des sources;3;467781;467781
Budget général;1;Recherche et enseignement supérieur;RA;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190;Recherche dans le domaine des risques;11;Institut national de l'environnement industriel et des risques (INERIS);1;6373110;6373110
Budget général;1;Recherche et enseignement supérieur;RA;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190;Recherche dans le domaine des risques;11;Institut de radioprotection et de sûreté nucléaire (IRSN);2;172729240;172729240
Budget général;1;Recherche et enseignement supérieur;RA;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190;Recherche dans le domaine des transports, de la construction et de l'aménagement;12;Institut français des sciences et technologies des transports, de laménagement et des réseaux (IFSTTAR);1;86184495;86184495
Budget général;1;Recherche et enseignement supérieur;RA;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190;Recherche dans le domaine des transports, de la construction et de l'aménagement;12;Centre scientifique et technique du bâtiment (CSTB);3;15046382;15046382
Budget général;1;Recherche et enseignement supérieur;RA;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190;Recherche partenariale dans le développement et l'aménagement durable;13;Agence nationale chargée de la sécurité sanitaire de l'alimentation, de l'environnement et du travail (ANSES);1;1551198;1551198
Budget général;1;Recherche et enseignement supérieur;RA;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190;Recherche partenariale dans le développement et l'aménagement durable;13;Agence de l'environnement et de la maîtrise de l'énergie (ADEME);2;0;0
Budget général;1;Recherche et enseignement supérieur;RA;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190;Recherche partenariale dans le développement et l'aménagement durable;13;Recherche en matière de transport (PREDIT);4;0;965735
Budget général;1;Recherche et enseignement supérieur;RA;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190;Recherche partenariale dans le développement et l'aménagement durable;13;Construction (PREBAT, C2D2, RGCU);5;0;276099
Budget général;1;Recherche et enseignement supérieur;RA;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190;Recherche partenariale dans le développement et l'aménagement durable;13;Urbanisme et territoire (PUCA, MUTS);6;0;1120134
Budget général;1;Recherche et enseignement supérieur;RA;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190;Recherche partenariale dans le développement et l'aménagement durable;13;Changement global (GMES, adaptation au changement climatique);7;0;753671
Budget général;1;Recherche et enseignement supérieur;RA;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190;Recherche partenariale dans le développement et l'aménagement durable;13;Risque, santé, environnement;8;0;1770746
Budget général;1;Recherche et enseignement supérieur;RA;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190;Recherche partenariale dans le développement et l'aménagement durable;13;Biodiversité;9;0;698847
Budget général;1;Recherche et enseignement supérieur;RA;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190;Recherche partenariale dans le développement et l'aménagement durable;13;Innovation et prospective dans le domaine du développement et de l'aménagement durable;10;0;414768
Budget général;1;Recherche et enseignement supérieur;RA;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190;Recherche et développement dans le domaine de l'aéronautique civile;14;Recherches en amont;1;59665448;59665448
Budget général;1;Recherche et enseignement supérieur;RA;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190;Recherche et développement dans le domaine de l'aéronautique civile;14;Subventions à des organismes de recherche;2;128000;128000
